, Open, High, Low, Close
02/08/23, 5.2103, 5.2446, 5.1664, 5.2013
02/07/23, 5.1483, 5.2181, 5.1343, 5.2108
02/06/23, 5.1525, 5.2119, 5.1407, 5.1469
02/03/23, 5.0510, 5.1587, 5.0498, 5.1525
02/02/23, 5.0551, 5.0567, 4.9408, 5.0511
02/01/23, 5.0736, 5.1122, 5.0440, 5.0552
01/31/23, 5.1167, 5.1382, 5.0707, 5.0735
01/30/23, 5.1093, 5.1331, 5.0835, 5.1166
01/27/23, 5.0657, 5.1163, 5.0572, 5.1095
01/26/23, 5.0738, 5.1175, 5.0598, 5.0665
01/25/23, 5.1388, 5.1459, 5.0696, 5.0737
01/24/23, 5.2078, 5.2200, 5.1353, 5.1398
01/23/23, 5.2079, 5.2187, 5.1647, 5.2081
01/20/23, 5.1742, 5.2394, 5.1661, 5.2079
01/19/23, 5.1871, 5.2410, 5.1638, 5.1745
01/18/23, 5.1003, 5.1900, 5.0662, 5.1868
01/17/23, 5.1479, 5.1571, 5.0963, 5.1007
01/16/23, 5.0960, 5.1617, 5.0820, 5.1477
01/13/23, 5.1077, 5.1543, 5.0788, 5.0963
01/12/23, 5.1604, 5.1786, 5.0688, 5.1090
01/11/23, 5.1999, 5.2343, 5.1593, 5.1601
01/10/23, 5.2552, 5.2747, 5.1981, 5.2001
01/09/23, 5.2258, 5.3083, 5.2244, 5.2551
01/06/23, 5.3508, 5.3638, 5.2186, 5.2255
01/05/23, 5.4315, 5.4341, 5.3480, 5.3513
01/04/23, 5.4799, 5.4816, 5.4253, 5.4313
01/03/23, 5.3661, 5.4815, 5.3413, 5.4800
01/02/23, 5.2863, 5.3666, 5.2848, 5.3637
12/30/22, 5.2866, 5.2893, 5.2842, 5.2848
12/29/22, 5.2682, 5.3030, 5.1906, 5.2865
12/28/22, 5.2935, 5.2973, 5.2267, 5.2681
12/27/22, 5.2190, 5.3021, 5.2138, 5.2934
12/26/22, 5.1657, 5.2203, 5.1627, 5.2190
12/23/22, 5.1670, 5.1774, 5.1176, 5.1655
12/22/22, 5.2011, 5.2199, 5.1597, 5.1669
12/21/22, 5.2002, 5.2192, 5.1596, 5.2012
12/20/22, 5.2933, 5.3243, 5.1772, 5.2003
12/19/22, 5.3144, 5.3400, 5.2893, 5.2934
12/16/22, 5.3133, 5.3315, 5.2635, 5.3145
12/15/22, 5.2792, 5.3477, 5.2779, 5.3133
12/14/22, 5.2943, 5.3618, 5.2766, 5.2791
12/13/22, 5.3232, 5.3286, 5.2437, 5.2942
12/12/22, 5.2405, 5.3509, 5.2317, 5.3231
12/09/22, 5.2260, 5.2817, 5.2173, 5.2406
12/08/22, 5.2062, 5.2508, 5.1910, 5.2259
12/07/22, 5.2364, 5.2705, 5.1848, 5.2054
12/06/22, 5.2809, 5.2836, 5.2185, 5.2356
12/05/22, 5.2194, 5.2916, 5.2096, 5.2811
12/02/22, 5.1847, 5.2397, 5.1644, 5.2194
12/01/22, 5.1846, 5.2170, 5.1647, 5.1852
11/30/22, 5.2701, 5.3173, 5.1746, 5.1856
11/29/22, 5.3659, 5.3679, 5.2697, 5.2700
11/28/22, 5.4101, 5.4269, 5.3495, 5.3659
11/25/22, 5.3211, 5.4244, 5.3060, 5.4103
11/24/22, 5.3600, 5.3610, 5.2995, 5.3212
11/23/22, 5.3591, 5.4111, 5.3482, 5.3598
11/22/22, 5.3201, 5.3970, 5.2826, 5.3590
11/21/22, 5.3832, 5.3842, 5.2991, 5.3202
11/18/22, 5.4233, 5.4246, 5.3282, 5.3834
11/17/22, 5.4001, 5.5265, 5.3873, 5.4235
11/16/22, 5.3331, 5.4053, 5.2894, 5.4003
11/15/22, 5.3324, 5.3349, 5.3302, 5.3330
11/14/22, 5.3252, 5.3517, 5.2635, 5.3326
11/11/22, 5.3455, 5.4048, 5.2488, 5.3249
11/10/22, 5.1870, 5.4114, 5.1839, 5.3454
11/09/22, 5.1448, 5.2007, 5.1370, 5.1869
11/08/22, 5.1573, 5.2477, 5.1308, 5.1443
11/07/22, 5.0566, 5.1747, 5.0211, 5.1572
11/04/22, 5.1169, 5.1181, 5.0200, 5.0610
11/03/22, 5.1459, 5.2220, 5.0868, 5.1150
11/02/22, 5.1462, 5.1478, 5.1414, 5.1435
11/01/22, 5.1796, 5.1964, 5.0911, 5.1441
10/31/22, 5.2927, 5.4025, 5.1536, 5.1795
10/28/22, 5.3458, 5.3662, 5.2807, 5.2985
10/27/22, 5.3823, 5.3917, 5.2531, 5.3459
10/26/22, 5.3161, 5.3869, 5.2818, 5.3819
10/25/22, 5.3031, 5.3564, 5.2768, 5.3159
10/24/22, 5.1629, 5.3098, 5.1624, 5.3032
10/21/22, 5.2157, 5.2766, 5.1415, 5.1638
10/20/22, 5.2712, 5.2722, 5.1931, 5.2159
10/19/22, 5.2410, 5.2990, 5.2386, 5.2717
10/18/22, 5.2813, 5.2987, 5.2350, 5.2412
10/17/22, 5.3289, 5.3315, 5.2545, 5.2800
10/14/22, 5.2664, 5.3345, 5.2428, 5.3256
10/13/22, 5.2931, 5.3808, 5.2300, 5.2692
10/12/22, 5.3045, 5.3045, 5.2912, 5.2932
10/11/22, 5.1905, 5.3046, 5.1796, 5.3041
10/10/22, 5.2056, 5.2164, 5.1627, 5.1904
10/07/22, 5.2232, 5.2529, 5.1962, 5.2048
10/06/22, 5.1973, 5.2314, 5.1747, 5.2233
10/05/22, 5.1763, 5.2439, 5.1672, 5.1975
10/04/22, 5.1688, 5.2207, 5.1092, 5.1762
10/03/22, 5.4125, 5.4181, 5.1545, 5.1717
09/30/22, 5.4012, 5.4254, 5.3289, 5.4129
09/29/22, 5.3763, 5.4298, 5.3738, 5.4009
09/28/22, 5.3813, 5.4079, 5.3230, 5.3757
09/27/22, 5.3909, 5.3955, 5.2987, 5.3792
09/26/22, 5.2603, 5.4158, 5.2589, 5.3917
09/23/22, 5.1169, 5.2679, 5.1149, 5.2630
09/22/22, 5.1730, 5.1859, 5.1065, 5.1166
09/21/22, 5.1440, 5.1927, 5.1212, 5.1733
09/20/22, 5.1693, 5.2222, 5.1410, 5.1446
09/19/22, 5.2522, 5.3026, 5.1438, 5.1705
09/16/22, 5.2458, 5.3093, 5.2455, 5.2535
09/15/22, 5.1644, 5.2490, 5.1619, 5.2453
09/14/22, 5.1920, 5.1978, 5.1521, 5.1645
09/13/22, 5.0956, 5.2089, 5.0766, 5.1923
09/12/22, 5.1479, 5.1494, 5.0839, 5.0954
09/09/22, 5.2156, 5.2158, 5.1411, 5.1478
09/08/22, 5.2469, 5.2524, 5.1860, 5.2159
09/07/22, 5.2510, 5.2510, 5.2466, 5.2486
09/06/22, 5.1535, 5.2529, 5.1535, 5.2529
09/05/22, 5.1725, 5.1902, 5.1509, 5.1536
09/02/22, 5.2429, 5.2442, 5.1589, 5.1707
09/01/22, 5.1874, 5.2568, 5.1489, 5.2431
08/31/22, 5.1230, 5.2062, 5.1212, 5.1870
08/30/22, 5.0291, 5.1255, 5.0087, 5.1220
08/29/22, 5.0640, 5.0775, 5.0113, 5.0292
08/26/22, 5.1098, 5.1158, 5.0550, 5.0633
08/25/22, 5.1116, 5.1430, 5.0916, 5.1091
08/24/22, 5.1058, 5.1218, 5.0818, 5.1105
08/23/22, 5.1583, 5.1588, 5.0713, 5.1060
08/22/22, 5.1699, 5.2036, 5.1505, 5.1585
08/19/22, 5.1690, 5.2189, 5.1658, 5.1699
08/18/22, 5.1660, 5.2063, 5.1288, 5.1694
08/17/22, 5.1476, 5.2133, 5.1437, 5.1661
08/16/22, 5.0964, 5.1534, 5.0958, 5.1482
08/15/22, 5.0764, 5.1397, 5.0713, 5.0966
08/12/22, 5.1565, 5.1636, 5.0654, 5.0753
08/11/22, 5.0933, 5.1700, 5.0650, 5.1557
08/10/22, 5.1264, 5.1370, 5.0364, 5.0918
08/09/22, 5.1127, 5.1513, 5.0941, 5.1266
08/08/22, 5.1661, 5.1661, 5.1035, 5.1122
08/05/22, 5.2144, 5.2780, 5.1557, 5.1650
08/04/22, 5.2841, 5.2953, 5.1998, 5.2149
08/03/22, 5.2808, 5.3159, 5.2518, 5.2826
08/02/22, 5.1859, 5.2848, 5.1827, 5.2806
08/01/22, 5.1727, 5.2038, 5.1284, 5.1864
07/29/22, 5.1841, 5.2121, 5.1472, 5.1731
07/28/22, 5.2432, 5.2731, 5.1586, 5.1843
07/27/22, 5.3516, 5.3542, 5.2395, 5.2429
07/26/22, 5.3588, 5.3927, 5.3360, 5.3498
07/25/22, 5.4982, 5.5011, 5.3572, 5.3586
07/22/22, 5.4996, 5.5037, 5.4366, 5.4977
07/21/22, 5.4703, 5.5144, 5.4303, 5.4988
07/20/22, 5.4127, 5.4723, 5.3896, 5.4701
07/19/22, 5.4376, 5.4405, 5.3650, 5.4121
07/18/22, 5.4116, 5.4383, 5.3518, 5.4364
07/15/22, 5.4252, 5.4490, 5.3748, 5.4084
07/14/22, 5.3922, 5.4902, 5.3916, 5.4246
07/13/22, 5.4385, 5.4659, 5.3632, 5.3925
07/12/22, 5.3786, 5.4432, 5.3696, 5.4390
07/11/22, 5.2555, 5.3856, 5.2534, 5.3777
07/08/22, 5.3402, 5.3694, 5.2515, 5.2572
07/07/22, 5.4290, 5.4314, 5.3307, 5.3405
07/06/22, 5.3876, 5.4623, 5.3856, 5.4295
07/05/22, 5.3299, 5.4037, 5.3281, 5.3877
07/04/22, 5.3325, 5.3349, 5.2882, 5.3301
07/01/22, 5.2574, 5.3390, 5.2517, 5.3330
06/30/22, 5.1832, 5.2708, 5.1804, 5.2571
06/29/22, 5.2689, 5.2749, 5.1759, 5.1829
06/28/22, 5.2387, 5.2787, 5.1885, 5.2699
06/27/22, 5.2429, 5.2754, 5.2020, 5.2390
06/24/22, 5.2414, 5.2760, 5.2035, 5.2425
06/23/22, 5.1948, 5.2475, 5.1673, 5.2418
06/22/22, 5.1270, 5.1953, 5.1235, 5.1951
06/21/22, 5.1907, 5.1907, 5.1187, 5.1275
06/20/22, 5.1536, 5.1936, 5.1369, 5.1904
06/17/22, 5.0535, 5.1552, 5.0522, 5.1535
06/16/22, 5.0561, 5.0561, 5.0517, 5.0540
06/15/22, 5.1169, 5.1336, 5.0186, 5.0569
06/14/22, 5.1160, 5.1515, 5.0876, 5.1159
06/13/22, 4.9855, 5.1376, 4.9854, 5.1170
06/10/22, 4.9070, 5.0120, 4.8841, 4.9870
06/09/22, 4.9003, 4.9203, 4.8664, 4.9071
06/08/22, 4.8713, 4.9066, 4.8485, 4.9001
06/07/22, 4.7951, 4.9280, 4.7913, 4.8714
06/06/22, 4.7765, 4.8066, 4.7480, 4.7942
06/03/22, 4.7970, 4.8318, 4.7717, 4.7753
06/02/22, 4.8161, 4.8181, 4.7724, 4.7973
06/01/22, 4.7344, 4.8177, 4.7226, 4.8165
05/31/22, 4.7538, 4.7728, 4.6984, 4.7349
05/30/22, 4.7311, 4.7564, 4.6913, 4.7540
05/27/22, 4.7692, 4.7812, 4.7159, 4.7316
05/26/22, 4.8278, 4.8434, 4.7513, 4.7686
05/25/22, 4.8203, 4.8638, 4.8050, 4.8267
05/24/22, 4.8134, 4.8543, 4.7760, 4.8201
05/23/22, 4.8817, 4.8818, 4.7857, 4.8132
05/20/22, 4.9312, 4.9328, 4.8525, 4.8801
05/19/22, 4.9698, 4.9718, 4.8800, 4.9309
05/18/22, 4.9392, 5.0001, 4.9229, 4.9706
05/17/22, 5.0607, 5.0622, 4.9352, 4.9393
05/16/22, 5.0598, 5.1040, 5.0330, 5.0608
05/13/22, 5.1343, 5.1490, 5.0467, 5.0609
05/12/22, 5.1379, 5.2090, 5.1058, 5.1339
05/11/22, 5.1327, 5.1702, 5.0910, 5.1393
05/10/22, 5.1622, 5.1663, 5.1096, 5.1336
05/09/22, 5.0790, 5.1609, 5.0767, 5.1609
05/06/22, 5.0274, 5.1136, 5.0084, 5.0816
05/05/22, 4.9203, 5.0573, 4.9167, 5.0269
05/04/22, 4.9600, 5.0354, 4.8938, 4.9199
05/03/22, 5.0848, 5.0873, 4.9570, 4.9603
05/02/22, 4.9736, 5.0931, 4.9686, 5.0850
04/29/22, 4.9425, 4.9796, 4.8599, 4.9736
04/28/22, 4.9682, 5.0460, 4.9355, 4.9416
04/27/22, 5.0002, 5.0392, 4.9282, 4.9697
04/26/22, 4.8782, 5.0005, 4.8762, 5.0004
04/25/22, 4.7957, 4.9488, 4.7935, 4.8783
